"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2046","Guest can go to Login page from Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","4286","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2188","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","3273","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","7957","Empty basket opened from Main page has no products","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","2797","Guest can add product to basket","tests","2026-07-24","skipped","2026-07-24","TestProductPage","test_product_page","",""
"","2447","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","6083","Authorized user see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2525","Authorized user can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1523","Guest should see login link on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","8245","Empty basket opened from Product page has no products","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2222","Guest should see login link on Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","6970","Guest see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","3833","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","4126","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","3094","Guest can go to Login page from Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","3622","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2559","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2783","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
